,ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
9838,9838,churned,165,132,559.7347609,2147,74,0,6265.049589,5073.82005,0,0,iPhone
7689,7689,retained,23,22,95.00836228,374,34,0,3613.120199,1680.7996,30,22,Android
6557,6557,retained,21,17,51.32123906,630,110,0,5886.763332,1618.806476,15,15,iPhone
6872,6872,churned,5,4,45.78295557,769,101,9,7137.455299,4480.859354,2,1,Android
820,820,retained,342,274,659.7305917,1661,154,96,1715.00518,1227.570694,16,15,iPhone
1643,1643,retained,113,91,148.1443141,617,2,2,2420.394249,1737.557315,24,17,iPhone
7217,7217,retained,9,7,157.966277,1089,35,0,3108.982989,1256.838277,29,25,Android
8351,8351,retained,200,171,340.6537654,3244,0,0,3531.20118,585.9771773,6,2,Android
2631,2631,churned,19,19,101.5182283,180,90,22,2295.613177,574.1967806,5,2,iPhone
107,107,retained,66,55,120.0854852,2515,0,0,2641.117738,2125.9414,16,14,iPhone
10329,10329,retained,89,74,235.1643779,2608,13,0,3501.444409,2085.383172,14,9,iPhone
367,367,churned,64,52,304.8288523,2593,31,0,2842.46897,1413.349537,10,4,iPhone
8216,8216,,7,7,106.9465061,2084,0,0,1943.558886,1144.496332,18,12,iPhone
416,416,retained,192,156,195.7272196,2007,0,57,4856.542387,3542.234412,27,20,iPhone
2420,2420,,81,66,96.57407955,3105,0,0,1611.125727,1092.149662,14,10,iPhone
729,729,retained,28,27,55.3390658,1584,10,18,7613.940673,4137.284179,25,23,iPhone
13626,13626,retained,0,0,134.1102055,591,82,2,3966.393422,1907.044626,30,20,iPhone
4170,4170,churned,24,24,114.6692473,1665,166,0,2008.073115,1173.544909,2,0,Android
6189,6189,retained,37,29,95.44933331,1528,93,0,1421.826692,1048.462272,8,8,iPhone
12752,12752,retained,15,12,165.0339431,1802,6,0,3764.784533,1317.907521,4,3,iPhone
10385,10385,retained,230,184,287.7780035,2412,30,0,9694.268352,803.7039569,20,16,iPhone
5778,5778,retained,48,39,201.4416156,2694,107,8,2126.329996,988.088069,30,20,iPhone
6206,6206,retained,30,24,100.4457357,2256,196,78,6144.846933,1987.898386,5,5,Android
2388,2388,churned,75,60,228.2465298,1900,50,38,2894.399762,2065.647816,8,6,Android
12619,12619,retained,27,22,47.76422168,445,0,0,1398.277276,142.8727852,28,22,Android
4894,4894,retained,85,69,107.2001464,2860,121,111,4543.181657,1772.272207,24,20,iPhone
6586,6586,retained,56,48,128.0599992,2045,6,23,1593.653817,975.6175012,2,0,Android
8439,8439,retained,60,53,135.3096334,3477,0,43,4981.903127,2689.75206,3,3,iPhone
